goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkCtx/get-8        	11235313	       106.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	10992826	       110.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11179420	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11072635	       107.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11334808	       108.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11219581	       108.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11255508	       110.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11196465	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11169349	       115.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	10340920	       135.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 6828436	       171.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 6844341	       171.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 7093774	       170.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 6837469	       183.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 6595825	       182.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 7343470	       162.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 6663201	       159.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 7641511	       159.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 7597028	       159.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 7457676	       220.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/defer-8               	23870716	        48.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	29713503	        38.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	30671089	        38.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	29987764	        37.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	30138967	        41.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	30716690	        39.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	28374100	        41.15 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	24649042	        41.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	30119496	        38.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	32054492	        38.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21957787	        51.66 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	23355919	        64.81 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21381003	        58.25 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21000498	        63.06 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	22160800	        52.41 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	22281682	        51.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	20620046	        51.64 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	22448948	        51.86 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	23403454	        53.43 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21297069	        55.86 ns/op	      24 B/op	       1 allocs/op
BenchmarkTpl/condition-8           	 3065799	       374.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2958876	       385.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 3209960	       480.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2895090	       384.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2840181	       384.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 3146922	       375.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 3251212	       370.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 3268779	       393.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 3195835	       377.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 3015002	       388.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 7265996	       178.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 7154065	       174.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 4134877	       247.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 6073885	       174.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 6785840	       171.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 6290546	       183.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 6748556	       169.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 7283023	       165.1 ns/op	       0 B/op	       0 allocs/op
