goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkCtx/get-8        	17945168	        68.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	18090033	        69.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	17668260	        68.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	18145268	        67.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	18167878	        66.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	16257388	        67.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	17693995	        77.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	13066922	        84.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	11948091	        98.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/get-8        	13416432	        93.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 8412174	       123.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 9395073	       127.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 9799484	       118.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	10362446	       125.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 9263846	       130.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 7780711	       152.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 9639928	       116.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	10758523	       112.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	10290368	       141.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/getWithPool-8         	 9529182	       117.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtx/defer-8               	31397517	        44.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	23257294	        52.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	27098364	        40.96 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	31261989	        38.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	30466674	        42.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	28377296	        42.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	29582907	        45.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	27300006	        38.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	31513050	        38.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer-8               	29028290	        47.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21722078	        56.52 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	20161982	        58.79 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	20229597	        55.09 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	22364962	        54.91 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21435776	        60.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21896188	        55.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	22068720	        53.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	22286556	        57.72 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	20959423	        54.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtx/defer_pool-8          	21925083	        73.52 ns/op	      24 B/op	       1 allocs/op
BenchmarkTpl/condition-8           	 2764951	       421.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2957160	       449.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2749779	       430.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2884626	       412.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2990004	       406.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2979306	       424.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2747914	       416.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2926046	       591.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2608358	       418.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/condition-8           	 2901706	       408.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 8452766	       152.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 7914468	       158.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 8072977	       144.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 8632502	       140.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 8363828	       143.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 8358789	       142.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 8023234	       154.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 7738290	       180.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 7734447	       143.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionHelper-8     	 8591804	       145.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5938600	       197.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5834450	       233.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5621301	       198.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5790627	       202.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 6329145	       194.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5752827	       190.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 6262970	       194.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5187384	       243.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 5999422	       192.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionLC-8         	 6237567	       192.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2163552	       538.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2208064	       583.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2149918	       599.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2151458	       547.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2170018	       536.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2234828	       629.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2070498	       546.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2240930	       548.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2177959	       543.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionNoStatic-8   	 2219701	       560.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  514011	      2621 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  494539	      2329 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  510912	      2241 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  530796	      2255 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  507771	      2749 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  466120	      2468 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  513884	      2447 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  496107	      2268 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  536562	      2259 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionOK-8         	  532764	      2236 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	10202361	       123.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9382701	       127.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9707934	       118.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	10574331	       118.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	10337392	       143.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9572365	       128.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9162468	       122.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	10244222	       129.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	 9843614	       120.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/conditionStr-8        	10018579	       117.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1738412	       723.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1497010	       754.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1541583	       718.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1731596	       819.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1575750	       689.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1674411	       730.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1678488	       748.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1713805	       748.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1732563	       680.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1452040	       755.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1143 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	  946146	      1104 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1395 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	  998643	      1137 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1122 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1151 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1133 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1128 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1139 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1077 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2864847	       409.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2796736	       420.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2744527	       445.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2594235	       496.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2587280	       418.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2820721	       412.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2837355	       418.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2716812	       420.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2937385	       436.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2838900	       415.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9353234	       124.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 8519722	       125.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9058882	       135.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9462398	       157.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 8750170	       126.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9161332	       126.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9253539	       125.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 7799574	       135.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9254932	       128.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9511065	       130.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 4779218	       218.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5562895	       212.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5719520	       206.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5539086	       233.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 4016901	       260.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5498896	       215.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5510876	       230.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5550708	       216.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5808422	       260.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 4505960	       222.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2698168	       433.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2812381	       460.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2685332	       427.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2756749	       560.4 ns/op	       0 B/op	       0 allocs/op
